"log_id","us_id","log_task_name","log_question_score","log_question_status","log_question_used_time","log_created_time","log_question_number","log_question_name"
"20693","1","counting","0","t","00:00:02.165","2018-09-27 04:51:36.5136","4.1","animal normal"
"20692","1","counting","0","f","00:00:00","2018-09-27 04:51:31.5131","3.3","number-15"
"20691","1","counting","0","f","00:00:34.602","2018-09-27 04:51:30.513","3.2","number-4"
"20690","1","counting","0","f","00:00:00","2018-09-27 04:50:46.5046","2.3","number-12"
"20689","1","counting","0","f","00:00:39.774","2018-09-27 04:50:44.5044","2.2","number-6"
"20688","1","Comparison_object","1","t","00:00:00.321","2018-09-27 04:37:56.3756","7","14:16"
"20687","1","Comparison_object","1","t","00:00:00.176","2018-09-27 04:37:53.3753","6","14:12"
"20686","1","Comparison_object","0","f","00:00:00.206","2018-09-27 04:37:51.3751","5","10:12"
"20685","1","Comparison_object","1","t","00:00:00.219","2018-09-27 04:37:48.3748","4","10:8"
"20684","1","Comparison_object","1","t","00:00:05.197","2018-09-27 04:37:45.3745","3","8:6"
"20683","1","Comparison_object","0","f","00:00:01.43","2018-09-27 04:37:37.3737","2","10:15"
"20682","1","Comparison_object","0","f","00:00:03.071","2018-09-27 04:37:34.3734","1","5:10"
"20681","1","comparison","0","t","00:00:12.273","2018-09-27 03:43:33.4333","4","25 animals"
"20680","1","comparison","0","t","00:00:12.2","2018-09-27 03:43:20.432","3","13 animals"
"20679","1","comparison","0","t","00:00:03.291","2018-09-27 03:43:08.438","2","5 animals"
"20678","1","identification","0","f","00:00:00.682","2018-09-27 03:39:10.391","11","number-8"
"20677","1","identification","1","t","00:00:02.056","2018-09-27 03:39:05.395","10","number-0"
"20676","1","identification","1","t","00:00:00.587","2018-09-27 03:38:59.3859","9","number-9"
"20675","1","identification","0","f","00:00:04.073","2018-09-27 03:38:54.3854","8","number-4"
"20674","1","identification","0","f","00:00:19.799","2018-09-27 03:38:45.3845","7","number-2"
"20673","1","identification","0","f","00:00:00.425","2018-09-27 03:38:21.3821","6","number-1"
"20672","1","identification","0","f","00:00:01.291","2018-09-27 03:38:16.3816","5","number-5"
"20671","1","identification","0","f","00:00:00.701","2018-09-27 03:38:11.3811","4","number-3"
"20670","1","identification","0","f","00:00:00.674","2018-09-27 03:38:05.385","3","number-6"
"20669","1","identification","0","f","00:00:00.464","2018-09-27 03:38:00.38","2","number-7"
"20668","1","identification","0","f","00:00:37.88","2018-09-27 03:37:56.3756","1","number-0 EXEPLE"
"20667","1","ordinality","1","t","00:00:06.653","2018-09-27 03:34:38.3438","4","drag-number-13"
"20666","1","ordinality","1","t","00:00:02.26","2018-09-27 03:34:31.3431","3","drag-number-7"
"20665","1","ordinality","0","t","00:00:04.439","2018-09-27 03:34:29.3429","0","sample-drag-number-4"
"20664","1","ordinality","1","t","00:00:00.012","2018-09-27 03:34:25.3425","2","animal-lamb-11"
"20663","1","ordinality","1","t","00:00:00.216","2018-09-27 03:34:22.3422","1","animal-zebra-10"
"20662","1","ordinality","0","t","00:00:00","2018-09-27 03:34:19.3419","0","animal-sample"
"15444","1","comparison","0","t","00:00:00.977","2018-09-20 02:18:47.1847","4","25 animals"
"15442","1","comparison","0","t","00:00:08.78","2018-09-20 02:18:46.1846","3","13 animals"
"15439","1","comparison","0","t","00:00:01.063","2018-09-20 02:18:37.1837","2","5 animals"
"15438","1","comparison","0","t","00:00:01.898","2018-09-20 02:18:36.1836","1","6 animals"
"13758","1","counting","0","t","00:00:02.26","2018-09-19 02:53:46.5346","5.2","animal sorted"
"13757","1","counting","0","f","00:00:36.864","2018-09-19 02:53:42.5342","4.1","animal normal"
"13756","1","counting","0","f","00:00:00","2018-09-19 02:53:03.533","3.3","number-15"
"13755","1","counting","0","f","00:00:00","2018-09-19 02:53:00.53","3.2","number-4"
"13754","1","counting","0","f","00:00:00","2018-09-19 02:52:42.5242","2.3","number-12"
"13753","1","counting","0","f","00:00:00","2018-09-19 02:52:39.5239","2.2","number-6"
"13752","1","Comparison_object","1","t","00:00:00.447","2018-09-19 02:52:05.525","2","10:15"
"13751","1","Comparison_object","1","t","00:00:13.014","2018-09-19 02:52:02.522","1","5:10"
"11358","1","comparison_number","1","t","00:00:01.325","2018-08-31 07:46:33.4633","6","13:18"
"11357","1","comparison_number","1","t","00:00:00.591","2018-08-31 07:46:30.463","5","19:15"
"11356","1","comparison_number","1","t","00:00:00.516","2018-08-31 07:46:27.4627","4","4:7"
"11355","1","comparison_number","1","t","00:00:01.111","2018-08-31 07:46:24.4624","3","6:2"
"11354","1","comparison_number","1","t","00:00:01.589","2018-08-31 07:46:20.462","2","5:9"
"11353","1","comparison_number","1","t","00:00:01.196","2018-08-31 07:46:16.4616","1","8:3"
"11352","1","identification","1","t","00:00:00.641","2018-08-31 07:45:29.4529","16","number-40"
